classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.0,FPN 1.0,Latin America & Caribbean,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.619,Unknown,3.056,1.09,0.882,Unknown,0.658,Unknown,0.427,Unknown,0.153,Unknown,0.615,0.885,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.9,18.1,22.4,16.7,102.6,126.8,574267763
Food Prices for Nutrition 1.0,FPN 1.0,Latvia,2017,0.428,3.156,0.278,2.049,0.06,0.446,3.124,7.07,2.029,0.442,0.794,2.37,0.648,1.93,0.314,0.94,0.111,0.33,0.335,0.921,2.75,0.254,0.207,0.101,0.036,0.295,0.107,0.2,1.7,3.4,0.0,0.0,0.1,1942248
Food Prices for Nutrition 1.0,FPN 1.0,Lesotho,2017,1.463,3.808,0.895,2.329,0.236,0.614,3.77,6.2,2.306,0.608,1.172,2.54,0.838,1.81,0.362,0.78,0.148,0.32,0.462,0.788,1.71,0.311,0.222,0.096,0.039,0.209,0.123,9.0,59.7,80.2,0.2,1.2,1.7,2091532
Food Prices for Nutrition 1.0,FPN 1.0,Liberia,2017,5.272,4.059,3.913,3.012,1.274,0.981,4.018,4.14,2.982,0.971,0.685,0.54,0.901,0.71,0.229,0.18,0.092,0.07,1.27,0.84,0.66,0.17,0.224,0.057,0.023,0.209,0.316,37.8,92.4,97.1,1.8,4.3,4.6,4702224
Food Prices for Nutrition 1.0,FPN 1.0,Lithuania,2017,0.263,3.033,0.173,1.989,0.044,0.51,3.003,5.95,1.969,0.505,0.702,1.91,0.67,1.82,0.343,0.93,0.086,0.23,0.368,0.834,2.27,0.234,0.223,0.114,0.029,0.278,0.123,0.8,1.6,3.6,0.0,0.0,0.1,2828403
Food Prices for Nutrition 1.0,FPN 1.0,Low income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.084,Unknown,2.038,0.835,0.941,Unknown,0.495,Unknown,0.192,Unknown,0.16,Unknown,0.533,0.761,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22.4,76.2,90.2,105.5,359.2,425.6,479395884
Food Prices for Nutrition 1.0,FPN 1.0,Lower middle income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.398,Unknown,2.507,0.945,0.99,Unknown,0.639,Unknown,0.321,Unknown,0.156,Unknown,0.53,0.762,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.8,51.4,71.5,240.3,1584.1,2205.0,3106274008
Food Prices for Nutrition 1.0,FPN 1.0,Luxembourg,2017,0.298,2.517,0.244,2.059,0.04,0.338,2.492,7.44,2.038,0.335,0.656,3.15,0.762,3.66,0.28,1.35,0.056,0.27,0.208,0.53,2.55,0.263,0.306,0.112,0.022,0.213,0.083,0.1,0.4,0.4,0.0,0.0,0.0,596336
Food Prices for Nutrition 1.0,FPN 1.0,Madagascar,2017,1.627,3.017,1.41,2.615,0.588,1.09,2.987,2.77,2.589,1.079,1.02,1.84,0.563,1.01,0.328,0.59,0.197,0.35,0.555,0.324,0.58,0.341,0.188,0.11,0.066,0.108,0.186,77.8,95.8,97.1,19.9,24.5,24.8,25570511
Food Prices for Nutrition 1.0,FPN 1.0,Malawi,2017,2.095,2.752,1.243,1.632,0.219,0.288,2.724,9.56,1.616,0.285,1.085,3.31,0.396,1.21,0.13,0.4,0.176,0.54,0.328,0.61,1.86,0.398,0.145,0.048,0.065,0.224,0.12,3.5,86.3,95.5,0.6,15.3,16.9,17670193
Food Prices for Nutrition 1.0,FPN 1.0,Malaysia,2017,0.371,3.257,0.274,2.408,0.104,0.918,3.224,3.55,2.384,0.909,0.83,1.82,0.929,2.04,0.294,0.64,0.067,0.15,0.456,0.648,1.42,0.257,0.288,0.091,0.021,0.201,0.141,0.0,0.8,2.6,0.0,0.2,0.8,31104655
Food Prices for Nutrition 1.0,FPN 1.0,Maldives,2017,1.225,3.617,0.919,2.713,0.145,0.427,3.581,8.47,2.686,0.423,0.906,3.79,0.861,3.6,0.409,1.71,0.099,0.41,0.239,1.067,4.46,0.253,0.24,0.114,0.028,0.298,0.067,0.0,0.9,4.2,0.0,0.0,0.0,496398
Food Prices for Nutrition 1.0,FPN 1.0,Mali,2017,1.126,2.929,0.77,2.005,0.233,0.606,2.9,4.83,1.985,0.6,1.003,2.33,0.543,1.26,0.134,0.31,0.143,0.33,0.43,0.648,1.51,0.346,0.187,0.046,0.049,0.223,0.148,2.4,61.6,80.1,0.4,11.4,14.8,18512429
Food Prices for Nutrition 1.0,FPN 1.0,Malta,2017,0.512,3.529,0.388,2.674,0.109,0.748,3.494,4.72,2.647,0.741,0.795,1.56,0.931,1.83,0.45,0.89,0.08,0.16,0.508,0.73,1.44,0.228,0.266,0.129,0.023,0.209,0.145,0.1,0.3,0.3,0.0,0.0,0.0,467999
Food Prices for Nutrition 1.0,FPN 1.0,Mauritania,2017,1.036,3.486,0.845,2.842,0.263,0.886,3.451,3.94,2.814,0.877,0.96,2.07,0.804,1.74,0.194,0.42,0.16,0.35,0.463,0.87,1.88,0.278,0.233,0.056,0.046,0.252,0.134,2.9,49.2,62.9,0.1,2.1,2.7,4282582
Food Prices for Nutrition 1.0,FPN 1.0,Mauritius,2017,0.318,3.346,0.242,2.544,0.078,0.822,3.313,4.07,2.519,0.814,0.876,2.15,0.565,1.39,0.296,0.73,0.1,0.25,0.407,1.07,2.63,0.264,0.171,0.089,0.03,0.323,0.123,0.0,6.0,14.8,0.0,0.1,0.2,1264613
Food Prices for Nutrition 1.0,FPN 1.0,Mexico,2017,0.38,3.023,0.315,2.508,0.082,0.649,2.993,4.65,2.483,0.643,0.766,1.86,0.599,1.46,0.35,0.85,0.096,0.23,0.411,0.771,1.88,0.256,0.2,0.117,0.032,0.258,0.137,0.8,18.6,26.1,1.0,23.2,32.6,124777326
Food Prices for Nutrition 1.0,FPN 1.0,Middle East & North Africa,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.14,Unknown,2.032,0.737,0.941,Unknown,0.652,Unknown,0.345,Unknown,0.141,Unknown,0.461,0.601,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.9,19.2,38.7,2.9,64.6,130.4,382968401
Food Prices for Nutrition 1.0,FPN 1.0,Moldova,2017,0.355,2.485,0.243,1.7,0.116,0.81,2.46,3.07,1.683,0.802,0.746,1.61,0.432,0.94,0.36,0.78,0.121,0.26,0.462,0.339,0.73,0.303,0.176,0.146,0.049,0.138,0.188,0.0,0.7,5.9,0.0,0.0,0.2,2755158
Food Prices for Nutrition 1.0,FPN 1.0,Mongolia,2017,0.979,4.59,0.487,2.282,0.16,0.751,4.544,6.12,2.259,0.743,0.756,1.37,1.921,3.47,0.468,0.85,0.167,0.3,0.553,0.68,1.23,0.166,0.423,0.103,0.037,0.15,0.122,0.1,12.7,55.3,0.0,0.4,1.7,3113788
Food Prices for Nutrition 1.0,FPN 1.0,Montenegro,2017,0.31,3.431,0.209,2.317,0.05,0.557,3.397,6.17,2.294,0.551,0.862,2.03,0.833,1.96,0.367,0.86,0.081,0.19,0.425,0.829,1.95,0.254,0.245,0.108,0.024,0.244,0.125,1.6,9.5,17.4,0.0,0.1,0.1,622373
Food Prices for Nutrition 1.0,FPN 1.0,Morocco,2017,0.641,2.737,0.452,1.931,0.144,0.614,2.71,4.46,1.912,0.608,0.798,1.95,0.539,1.31,0.358,0.87,0.119,0.29,0.41,0.485,1.18,0.294,0.199,0.132,0.044,0.179,0.151,0.1,7.1,18.9,0.0,2.5,6.7,35581257
Food Prices for Nutrition 1.0,FPN 1.0,Mozambique,2017,1.932,3.062,1.255,1.989,0.244,0.387,3.031,7.91,1.969,0.383,0.993,2.43,0.389,0.95,0.208,0.51,0.191,0.47,0.408,0.843,2.07,0.328,0.128,0.069,0.063,0.278,0.135,13.3,83.5,91.3,3.8,23.9,26.2,28649007
Food Prices for Nutrition 1.0,FPN 1.0,Myanmar,2017,1.034,3.743,0.726,2.626,0.254,0.919,3.706,4.07,2.6,0.91,1.029,1.6,0.64,0.99,0.368,0.57,0.111,0.17,0.645,0.913,1.42,0.278,0.173,0.099,0.03,0.246,0.174,0.6,39.2,68.1,0.3,20.9,36.3,53382521
Food Prices for Nutrition 1.0,FPN 1.0,Namibia,2017,0.979,3.288,0.553,1.858,0.304,1.019,3.255,3.23,1.839,1.009,0.736,1.29,0.811,1.42,0.192,0.34,0.115,0.2,0.571,0.83,1.45,0.226,0.249,0.059,0.035,0.255,0.175,13.4,32.4,54.4,0.3,0.8,1.3,2402623
Food Prices for Nutrition 1.0,FPN 1.0,Nepal,2017,1.057,4.169,0.657,2.591,0.253,0.997,4.127,4.18,2.565,0.987,1.38,2.72,1.025,2.02,0.337,0.66,0.166,0.33,0.507,0.711,1.4,0.334,0.248,0.082,0.04,0.172,0.123,5.9,64.3,86.8,1.6,17.8,24.0,27632682
Food Prices for Nutrition 1.0,FPN 1.0,Netherlands,2017,0.394,2.771,0.254,1.789,0.043,0.3,2.743,9.24,1.771,0.297,0.614,1.91,0.607,1.89,0.255,0.79,0.053,0.16,0.322,0.892,2.77,0.224,0.221,0.093,0.019,0.325,0.117,0.0,0.3,0.4,0.0,0.0,0.1,17131296
Food Prices for Nutrition 1.0,FPN 1.0,Nicaragua,2017,0.935,3.223,0.729,2.514,0.421,1.451,3.191,2.22,2.489,1.436,1.016,1.73,0.373,0.64,0.331,0.56,0.14,0.24,0.587,0.743,1.27,0.318,0.117,0.104,0.044,0.233,0.184,5.7,21.2,32.2,0.4,1.4,2.1,6384843
Food Prices for Nutrition 1.0,FPN 1.0,Niger,2017,4.064,2.879,2.364,1.675,0.867,0.614,2.85,4.69,1.658,0.608,1.138,2.84,0.601,1.5,0.094,0.23,0.144,0.36,0.401,0.473,1.18,0.399,0.211,0.033,0.051,0.166,0.141,9.9,72.5,91.1,2.1,15.7,19.7,21602388
Food Prices for Nutrition 1.0,FPN 1.0,Nigeria,2017,0.603,3.601,0.358,2.136,0.234,1.396,3.565,2.58,2.115,1.382,0.994,1.31,0.522,0.69,0.23,0.3,0.13,0.17,0.757,0.932,1.23,0.279,0.146,0.065,0.036,0.261,0.212,55.3,78.1,94.1,105.6,149.0,179.7,190873247
Food Prices for Nutrition 1.0,FPN 1.0,North America,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.386,Unknown,3.011,0.892,0.608,Unknown,0.587,Unknown,0.375,Unknown,0.101,Unknown,0.611,1.103,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.1,1.4,1.9,4.1,5.1,6.8,361731296
Food Prices for Nutrition 1.0,FPN 1.0,North Macedonia,2017,0.434,3.352,0.389,3.002,0.096,0.737,3.318,4.55,2.972,0.73,0.949,1.81,0.64,1.22,0.347,0.66,0.146,0.28,0.525,0.712,1.36,0.286,0.193,0.105,0.044,0.215,0.158,2.6,17.7,21.8,0.1,0.4,0.5,2074502
Food Prices for Nutrition 1.0,FPN 1.0,Norway,2017,0.446,3.359,0.382,2.878,0.15,1.133,3.325,2.96,2.849,1.122,0.691,1.22,0.615,1.09,0.257,0.45,0.075,0.13,0.565,1.122,1.99,0.208,0.185,0.077,0.023,0.337,0.17,0.3,0.5,0.5,0.0,0.0,0.0,5276968
Food Prices for Nutrition 1.0,FPN 1.0,Pakistan,2017,0.928,3.442,0.53,1.966,0.209,0.776,3.408,4.44,1.946,0.768,1.019,2.49,0.923,2.25,0.34,0.83,0.193,0.47,0.41,0.524,1.28,0.299,0.271,0.1,0.057,0.154,0.12,0.2,38.4,79.7,0.4,79.9,165.7,207906210
Food Prices for Nutrition 1.0,FPN 1.0,Panama,2017,0.516,4.268,0.394,3.257,0.138,1.139,4.225,3.75,3.224,1.128,1.11,1.61,0.654,0.95,0.306,0.44,0.17,0.25,0.69,1.295,1.88,0.263,0.155,0.072,0.04,0.307,0.163,2.7,14.7,21.1,0.1,0.6,0.9,4106764
Food Prices for Nutrition 1.0,FPN 1.0,Paraguay,2017,0.585,3.465,0.662,3.925,0.162,0.96,3.43,3.61,3.886,0.95,0.809,1.71,0.455,0.96,0.826,1.74,0.142,0.3,0.474,0.724,1.53,0.236,0.133,0.241,0.041,0.211,0.138,0.5,24.8,20.1,0.0,1.7,1.4,6867058
Food Prices for Nutrition 1.0,FPN 1.0,Peru,2017,0.696,3.115,0.505,2.263,0.207,0.925,3.084,3.37,2.24,0.916,0.898,1.52,0.57,0.96,0.35,0.59,0.122,0.21,0.591,0.552,0.93,0.291,0.185,0.113,0.04,0.179,0.192,2.2,14.5,23.7,0.7,4.6,7.5,31444299
Food Prices for Nutrition 1.0,FPN 1.0,Philippines,2017,0.586,3.882,0.43,2.848,0.176,1.17,3.843,3.32,2.82,1.158,1.095,1.6,0.591,0.86,0.319,0.47,0.201,0.29,0.684,0.953,1.39,0.285,0.154,0.083,0.052,0.248,0.178,7.5,54.2,71.0,7.9,57.1,74.6,105172921
Food Prices for Nutrition 1.0,FPN 1.0,Poland,2017,0.381,2.938,0.252,1.944,0.051,0.394,2.909,7.46,1.925,0.39,0.584,1.84,0.651,2.05,0.377,1.19,0.09,0.28,0.318,0.89,2.8,0.201,0.224,0.13,0.031,0.306,0.109,0.0,0.1,1.0,0.0,0.0,0.4,37974826
Food Prices for Nutrition 1.0,FPN 1.0,Portugal,2017,0.278,2.538,0.203,1.854,0.046,0.416,2.513,6.1,1.835,0.412,0.583,2.15,0.687,2.54,0.275,1.01,0.078,0.29,0.271,0.62,2.29,0.232,0.273,0.109,0.031,0.247,0.108,0.1,0.7,1.1,0.0,0.1,0.1,10300300
Food Prices for Nutrition 1.0,FPN 1.0,Romania,2017,0.273,2.951,0.205,2.208,0.046,0.494,2.921,5.97,2.186,0.489,0.945,2.64,0.697,1.95,0.351,0.98,0.073,0.2,0.358,0.497,1.39,0.324,0.239,0.12,0.025,0.17,0.123,0.9,7.9,11.9,0.2,1.6,2.3,19588715
Food Prices for Nutrition 1.0,FPN 1.0,Russian Federation,2017,0.343,3.181,0.241,2.237,0.066,0.612,3.149,5.2,2.215,0.606,0.98,2.72,0.745,2.07,0.191,0.53,0.135,0.38,0.36,0.739,2.05,0.311,0.237,0.061,0.043,0.235,0.114,0.0,1.0,4.0,0.0,1.4,5.7,144496739
Food Prices for Nutrition 1.0,FPN 1.0,Rwanda,2017,1.808,2.635,0.908,1.324,0.529,0.771,2.609,3.42,1.311,0.763,0.919,1.58,0.481,0.83,0.136,0.23,0.19,0.33,0.58,0.303,0.52,0.352,0.184,0.052,0.073,0.116,0.222,34.5,66.8,89.0,4.1,8.0,10.7,11980960
Food Prices for Nutrition 1.0,FPN 1.0,Sao Tome and Principe,2017,0.702,3.321,0.548,2.595,0.191,0.905,3.288,3.67,2.569,0.896,1.015,2.13,0.241,0.51,0.392,0.82,0.117,0.25,0.477,1.046,2.19,0.309,0.073,0.119,0.036,0.318,0.145,16.3,75.7,84.4,0.0,0.2,0.2,207086
Food Prices for Nutrition 1.0,FPN 1.0,Senegal,2017,0.677,2.212,0.574,1.877,0.23,0.753,2.19,2.94,1.858,0.745,0.377,0.94,0.422,1.05,0.124,0.31,0.19,0.47,0.401,0.677,1.69,0.172,0.193,0.057,0.087,0.309,0.183,3.2,42.3,53.0,0.5,6.5,8.2,15419354
Food Prices for Nutrition 1.0,FPN 1.0,Serbia,2017,0.608,4.111,0.398,2.696,0.09,0.607,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024,0.226,0.141,3.2,15.2,29.0,0.2,1.1,2.0,7020858
Food Prices for Nutrition 1.0,FPN 1.0,Seychelles,2017,0.807,4.051,0.437,2.191,0.128,0.64,4.01,6.32,2.169,0.634,1.088,2.86,0.476,1.25,0.875,2.3,0.095,0.25,0.381,1.094,2.87,0.271,0.119,0.218,0.024,0.273,0.095,0.1,2.5,8.8,0.0,0.0,0.0,95843
Food Prices for Nutrition 1.0,FPN 1.0,Sierra Leone,2017,1.323,2.871,1.025,2.223,0.579,1.256,2.842,2.29,2.201,1.243,0.754,1.15,0.298,0.45,0.257,0.39,0.122,0.19,0.655,0.756,1.15,0.265,0.105,0.09,0.043,0.266,0.23,54.4,84.4,91.1,4.1,6.3,6.8,7488427
Food Prices for Nutrition 1.0,FPN 1.0,Slovak Republic,2017,0.434,3.043,0.285,1.997,0.052,0.367,3.013,8.3,1.977,0.363,0.667,1.91,0.634,1.81,0.311,0.89,0.077,0.22,0.35,0.974,2.78,0.221,0.21,0.103,0.026,0.323,0.116,0.1,1.3,2.0,0.0,0.1,0.1,5439232
Food Prices for Nutrition 1.0,FPN 1.0,Slovenia,2017,0.394,2.826,0.284,2.035,0.061,0.438,2.798,6.45,2.015,0.434,0.698,2.41,0.669,2.31,0.346,1.19,0.072,0.25,0.29,0.722,2.49,0.249,0.239,0.124,0.026,0.258,0.104,0.0,0.0,0.1,0.0,0.0,0.0,2066388
Food Prices for Nutrition 1.0,FPN 1.0,South Africa,2017,0.95,4.143,0.789,3.441,0.293,1.278,4.102,3.24,3.407,1.265,1.059,1.67,0.727,1.15,0.852,1.35,0.129,0.2,0.633,0.702,1.11,0.258,0.177,0.208,0.031,0.171,0.154,24.0,60.1,65.2,13.7,34.3,37.2,57009751
Food Prices for Nutrition 1.0,FPN 1.0,South Asia,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.558,Unknown,2.328,0.804,1.076,Unknown,0.842,Unknown,0.318,Unknown,0.172,Unknown,0.422,0.729,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.8,54.2,75.6,32.1,951.4,1327.5,1756587053
Food Prices for Nutrition 1.0,FPN 1.0,Spain,2017,0.371,2.726,0.241,1.77,0.06,0.442,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02,0.274,0.103,0.5,1.1,1.9,0.2,0.5,0.9,46593236
Food Prices for Nutrition 1.0,FPN 1.0,Sri Lanka,2017,0.671,3.739,0.404,2.251,0.176,0.982,3.702,3.81,2.228,0.972,0.999,2.03,0.899,1.82,0.192,0.39,0.321,0.65,0.493,0.799,1.62,0.27,0.243,0.052,0.087,0.216,0.133,0.4,19.4,52.3,0.1,4.2,11.2,21444000
Food Prices for Nutrition 1.0,FPN 1.0,St. Lucia,2017,1.836,3.296,1.492,2.678,0.591,1.061,3.263,3.11,2.651,1.05,0.848,1.67,0.479,0.94,0.334,0.66,0.205,0.4,0.509,0.888,1.74,0.26,0.147,0.102,0.063,0.272,0.156,4.4,16.4,20.2,0.0,0.0,0.0,180955
Food Prices for Nutrition 1.0,FPN 1.0,Sub-Saharan Africa,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.249,Unknown,2.228,0.871,0.934,Unknown,0.542,Unknown,0.256,Unknown,0.146,Unknown,0.528,0.843,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29.8,72.2,86.2,301.3,730.5,872.2,1021249977
Food Prices for Nutrition 1.0,FPN 1.0,Sudan,2017,0.824,3.711,0.468,2.11,0.242,1.09,3.674,3.41,2.089,1.079,1.203,2.2,0.48,0.88,0.509,0.93,0.211,0.39,0.547,0.723,1.32,0.327,0.131,0.139,0.057,0.197,0.149,12.7,54.4,86.3,5.2,22.2,35.2,40813398
Food Prices for Nutrition 1.0,FPN 1.0,Suriname,2017,0.604,5.019,0.412,3.42,0.139,1.154,4.969,4.35,3.386,1.142,1.412,2.41,0.8,1.37,0.78,1.33,0.136,0.23,0.585,1.256,2.15,0.284,0.161,0.157,0.027,0.253,0.118,17.9,40.9,57.6,0.1,0.2,0.3,570501
Food Prices for Nutrition 1.0,FPN 1.0,Sweden,2017,0.417,3.117,0.329,2.459,0.108,0.808,3.086,3.86,2.434,0.8,0.644,1.37,0.773,1.64,0.347,0.74,0.085,0.18,0.47,0.766,1.63,0.209,0.25,0.112,0.028,0.248,0.152,0.2,0.3,0.5,0.0,0.0,0.1,10057698
Food Prices for Nutrition 1.0,FPN 1.0,Switzerland,2017,0.333,2.548,0.278,2.122,0.055,0.422,2.523,6.04,2.101,0.418,0.675,3.18,0.577,2.72,0.249,1.17,0.067,0.32,0.212,0.743,3.5,0.268,0.229,0.099,0.027,0.294,0.084,0.0,0.0,0.0,0.0,0.0,0.0,8451840
Food Prices for Nutrition 1.0,FPN 1.0,"Taiwan, China",2017,0.427,4.03,0.32,3.026,0.156,1.474,3.99,2.73,2.996,1.459,0.911,1.06,0.75,0.88,0.475,0.55,0.134,0.16,0.857,0.863,1.01,0.228,0.188,0.119,0.034,0.216,0.215,0.0,0.2,0.2,0.0,0.1,0.1,23560000
Food Prices for Nutrition 1.0,FPN 1.0,Tajikistan,2017,1.203,3.058,0.932,2.369,0.362,0.921,3.027,3.32,2.345,0.912,0.823,1.49,0.628,1.14,0.439,0.8,0.16,0.29,0.552,0.425,0.77,0.272,0.207,0.145,0.053,0.14,0.182,1.7,26.5,42.9,0.2,2.3,3.8,8880270
Food Prices for Nutrition 1.0,FPN 1.0,Tanzania,2017,0.976,2.624,0.731,1.964,0.374,1.004,2.598,2.61,1.944,0.994,0.657,1.18,0.518,0.93,0.208,0.37,0.155,0.28,0.557,0.504,0.9,0.253,0.199,0.08,0.06,0.194,0.214,43.9,79.7,88.7,24.0,43.6,48.5,54660345
Food Prices for Nutrition 1.0,FPN 1.0,Thailand,2017,0.656,4.011,0.476,2.912,0.173,1.058,3.971,3.79,2.883,1.047,0.942,1.05,0.786,0.88,0.488,0.54,0.114,0.13,0.896,0.746,0.83,0.237,0.198,0.123,0.029,0.188,0.226,0.0,5.6,17.5,0.0,3.9,12.1,69209817
Food Prices for Nutrition 1.0,FPN 1.0,Trinidad and Tobago,2017,0.501,3.968,0.4,3.167,0.129,1.019,3.928,3.89,3.135,1.009,1.047,1.71,0.979,1.6,0.361,0.59,0.167,0.27,0.612,0.763,1.25,0.267,0.249,0.092,0.043,0.194,0.156,0.2,6.1,10.7,0.0,0.1,0.1,1384060
Food Prices for Nutrition 1.0,FPN 1.0,Tunisia,2017,0.64,3.511,0.346,1.899,0.111,0.61,3.476,5.75,1.88,0.604,0.841,2.64,1.127,3.54,0.482,1.52,0.181,0.57,0.318,0.527,1.66,0.242,0.324,0.139,0.052,0.152,0.091,0.0,3.2,21.8,0.0,0.4,2.5,11433438
Food Prices for Nutrition 1.0,FPN 1.0,Turkey,2017,0.391,2.902,0.311,2.309,0.096,0.716,2.873,4.05,2.286,0.709,0.817,2.27,0.85,2.36,0.271,0.75,0.127,0.35,0.36,0.448,1.24,0.284,0.296,0.094,0.044,0.156,0.125,0.0,3.4,6.9,0.0,2.8,5.6,81116451
Food Prices for Nutrition 1.0,FPN 1.0,Uganda,2017,1.807,2.777,1.183,1.818,0.426,0.655,2.749,4.24,1.8,0.648,0.853,1.72,0.494,1.0,0.196,0.4,0.184,0.37,0.495,0.528,1.07,0.31,0.18,0.071,0.067,0.192,0.18,14.2,69.3,84.8,5.9,28.5,34.9,41166588
Food Prices for Nutrition 1.0,FPN 1.0,United Arab Emirates,2017,0.374,2.783,0.245,1.824,0.101,0.754,2.755,3.69,1.806,0.746,0.856,2.21,0.562,1.45,0.269,0.69,0.149,0.38,0.388,0.532,1.37,0.311,0.204,0.098,0.054,0.193,0.141,0.0,0.0,0.0,0.0,0.0,0.0,9487206
Food Prices for Nutrition 1.0,FPN 1.0,United Kingdom,2017,0.341,1.84,0.285,1.541,0.049,0.266,1.822,6.93,1.526,0.263,0.494,3.36,0.533,3.63,0.195,1.33,0.053,0.36,0.147,0.399,2.71,0.271,0.293,0.107,0.029,0.219,0.081,0.1,0.4,0.5,0.1,0.3,0.3,66058859
Food Prices for Nutrition 1.0,FPN 1.0,United States,2017,0.46,3.258,0.316,2.237,0.129,0.914,3.225,3.56,2.215,0.905,0.557,0.84,0.61,0.92,0.285,0.43,0.059,0.09,0.661,1.053,1.59,0.173,0.189,0.088,0.018,0.327,0.205,1.2,1.5,2.0,4.1,4.9,6.5,325122128
Food Prices for Nutrition 1.0,FPN 1.0,Upper middle income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.524,Unknown,2.627,0.87,0.909,Unknown,0.712,Unknown,0.432,Unknown,0.13,Unknown,0.54,0.801,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.2,10.6,16.5,28.7,257.7,401.2,2427694194
Food Prices for Nutrition 1.0,FPN 1.0,Uruguay,2017,0.416,3.104,0.288,2.151,0.094,0.701,3.073,4.43,2.129,0.694,0.615,1.63,0.537,1.42,0.487,1.29,0.068,0.18,0.378,0.989,2.62,0.2,0.175,0.158,0.022,0.322,0.123,0.0,0.8,2.7,0.0,0.0,0.1,3436645
Food Prices for Nutrition 1.0,FPN 1.0,Vietnam,2017,1.052,3.622,0.737,2.539,0.286,0.985,3.586,3.68,2.514,0.975,1.183,2.03,0.556,0.96,0.305,0.52,0.189,0.32,0.582,0.771,1.32,0.33,0.155,0.085,0.053,0.215,0.162,1.3,15.9,32.4,1.2,15.1,30.7,94600643
Food Prices for Nutrition 1.0,FPN 1.0,West Bank and Gaza,2017,0.845,3.376,0.445,1.779,0.284,1.135,3.342,2.97,1.761,1.124,1.127,1.74,0.695,1.07,0.186689715164812,0.29,0.122,0.19,0.649,0.564,0.87,0.337,0.208,0.056,0.037,0.169,0.194,1.0,4.4,25.4,0.0,0.2,1.1,4454805
Food Prices for Nutrition 1.0,FPN 1.0,WORLD,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.314,Unknown,2.457,0.834,0.873,Unknown,0.662,Unknown,0.348,Unknown,0.13,Unknown,0.508,0.793,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.4,31.1,42.9,381.2,2212.2,3049.1,7208180851
Food Prices for Nutrition 1.0,FPN 1.0,Zambia,2017,1.821,3.116,1.405,2.404,0.755,1.292,3.085,2.41,2.38,1.279,0.906,1.11,0.372,0.46,0.232,0.29,0.13,0.16,0.814,0.631,0.78,0.294,0.121,0.075,0.042,0.205,0.264,63.8,81.8,87.6,10.7,13.8,14.8,16853608
