classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,2017,0.434,2.69,0.285,1.765,0.052,0.324,3.013,8.3,1.977,0.363,0.667,1.91,0.634,1.81,0.311,0.89,0.077,0.22,0.35,0.974,2.78,0.221,0.21,0.103,0.026,0.323,0.116,0.1,1.4,2.1,0.0,0.1,0.1,5439232
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,2017,0.394,2.498,0.284,1.799,0.061,0.388,2.798,6.45,2.015,0.434,0.698,2.41,0.669,2.31,0.346,1.19,0.072,0.25,0.29,0.722,2.49,0.249,0.239,0.124,0.026,0.258,0.104,0.0,0.0,0.1,0.0,0.0,0.0,2066388
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,2017,0.95,3.663,0.789,3.042,0.293,1.129,4.102,3.24,3.407,1.265,1.059,1.67,0.727,1.15,0.852,1.35,0.129,0.2,0.633,0.702,1.11,0.258,0.177,0.208,0.031,0.171,0.154,24.2,60.3,65.3,13.7,34.1,37.0,56641209
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,2017,0.894,3.177,0.595,2.079,0.197,0.718,3.558,1.52835051546392,2.328,0.804,1.076,2.55,0.842,2.0,0.318,0.75,0.172,0.41,0.422,0.729,1.73,0.302,0.237,0.089,0.048,0.205,0.119,2.6,59.3,78.7,46.1,1058.3,1402.9,1783288101
Food Prices for Nutrition 2.1,FPN 2.1,Spain,2017,0.371,2.41,0.241,1.564,0.06,0.391,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02,0.274,0.103,0.5,1.0,1.7,0.2,0.5,0.8,46593236
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,2017,0.671,3.305,0.404,1.989,0.176,0.868,3.702,3.81,2.228,0.972,0.999,2.03,0.899,1.82,0.192,0.39,0.321,0.65,0.493,0.799,1.62,0.27,0.243,0.052,0.087,0.216,0.133,0.6,22.6,56.3,0.1,4.9,12.1,21506813
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,2017,1.836,2.913,1.492,2.367,0.591,0.938,3.263,3.11,2.651,1.05,0.848,1.67,0.479,0.94,0.334,0.66,0.205,0.4,0.509,0.888,1.74,0.26,0.147,0.102,0.063,0.272,0.156,4.6,16.7,20.9,0.0,0.0,0.0,177163
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,2017,1.445,2.874,0.975,1.957,0.385,0.767,3.219,1.46852189781022,2.192,0.859,0.92,1.77,0.535,1.03,0.252,0.48,0.144,0.28,0.52,0.829,1.59,0.286,0.166,0.078,0.045,0.258,0.162,25.0,67.9,84.5,255.9,696.4,866.2,1034965894
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,2017,0.824,3.28,0.468,1.865,0.242,0.963,3.674,3.41,2.089,1.079,1.203,2.2,0.48,0.88,0.509,0.93,0.211,0.39,0.547,0.723,1.32,0.327,0.131,0.139,0.057,0.197,0.149,15.3,58.7,88.4,6.2,23.9,35.9,40679828
Food Prices for Nutrition 2.1,FPN 2.1,Suriname,2017,0.604,4.437,0.412,3.023,0.139,1.02,4.969,4.35,3.386,1.142,1.412,2.41,0.8,1.37,0.78,1.33,0.136,0.23,0.585,1.256,2.15,0.284,0.161,0.157,0.027,0.253,0.118,15.8,34.2,44.5,0.1,0.2,0.3,587559
Food Prices for Nutrition 2.1,FPN 2.1,Sweden,2017,0.417,2.755,0.329,2.173,0.108,0.714,3.086,3.86,2.434,0.8,0.644,1.37,0.773,1.64,0.347,0.74,0.085,0.18,0.47,0.766,1.63,0.209,0.25,0.112,0.028,0.248,0.152,0.2,0.4,0.6,0.0,0.0,0.1,10057698
Food Prices for Nutrition 2.1,FPN 2.1,Switzerland,2017,0.333,2.253,0.278,1.876,0.055,0.373,2.523,6.04,2.101,0.418,0.675,3.18,0.577,2.72,0.249,1.17,0.067,0.32,0.212,0.743,3.5,0.268,0.229,0.099,0.027,0.294,0.084,0.0,0.0,0.0,0.0,0.0,0.0,8451840
Food Prices for Nutrition 2.1,FPN 2.1,"Taiwan, China",2017,0.427,3.563,0.32,2.675,0.156,1.303,3.99,2.73,2.996,1.459,0.911,1.06,0.75,0.88,0.475,0.55,0.134,0.16,0.857,0.863,1.01,0.228,0.188,0.119,0.034,0.216,0.215,0.0,0.2,0.2,0.0,0.1,0.1,23552470
Food Prices for Nutrition 2.1,FPN 2.1,Tajikistan,2017,1.203,2.703,0.932,2.094,0.362,0.814,3.027,3.32,2.345,0.912,0.823,1.49,0.628,1.14,0.439,0.8,0.16,0.29,0.552,0.425,0.77,0.272,0.207,0.145,0.053,0.14,0.182,2.2,30.8,47.2,0.2,2.7,4.2,8925525
Food Prices for Nutrition 2.1,FPN 2.1,Tanzania,2017,0.976,2.32,0.731,1.736,0.374,0.888,2.598,2.61,1.944,0.994,0.657,1.18,0.518,0.93,0.208,0.37,0.155,0.28,0.557,0.504,0.9,0.253,0.199,0.08,0.06,0.194,0.214,36.8,75.6,85.9,20.7,42.5,48.3,56267032
Food Prices for Nutrition 2.1,FPN 2.1,Thailand,2017,0.656,3.546,0.476,2.574,0.173,0.935,3.971,3.79,2.883,1.047,0.942,1.05,0.786,0.88,0.488,0.54,0.114,0.13,0.896,0.746,0.83,0.237,0.198,0.123,0.029,0.188,0.226,0.0,7.0,20.5,0.0,5.0,14.5,70898202
Food Prices for Nutrition 2.1,FPN 2.1,Trinidad and Tobago,2017,0.501,3.507,0.4,2.799,0.129,0.901,3.928,3.89,3.135,1.009,1.047,1.71,0.979,1.6,0.361,0.59,0.167,0.27,0.612,0.763,1.25,0.267,0.249,0.092,0.043,0.194,0.156,0.2,3.4,6.5,0.0,0.1,0.1,1478607
Food Prices for Nutrition 2.1,FPN 2.1,Tunisia,2017,0.64,3.104,0.346,1.679,0.111,0.539,3.476,5.75,1.88,0.604,0.841,2.64,1.127,3.54,0.482,1.52,0.181,0.57,0.318,0.527,1.66,0.242,0.324,0.139,0.052,0.152,0.091,0.0,1.9,15.5,0.0,0.2,1.8,11811443
Food Prices for Nutrition 2.1,FPN 2.1,Turkey,2017,0.391,2.565,0.311,2.041,0.096,0.633,2.873,4.05,2.286,0.709,0.817,2.27,0.85,2.36,0.271,0.75,0.127,0.35,0.36,0.448,1.24,0.284,0.296,0.094,0.044,0.156,0.125,0.0,3.1,6.1,0.0,2.6,5.0,82089826
Food Prices for Nutrition 2.1,FPN 2.1,Uganda,2017,1.807,2.454,1.183,1.607,0.426,0.579,2.749,4.24,1.8,0.648,0.853,1.72,0.494,1.0,0.196,0.4,0.184,0.37,0.495,0.528,1.07,0.31,0.18,0.071,0.067,0.192,0.18,13.9,68.9,84.5,5.6,27.7,33.9,40127085
Food Prices for Nutrition 2.1,FPN 2.1,United Arab Emirates,2017,0.374,2.46,0.245,1.613,0.101,0.666,2.755,3.69,1.806,0.746,0.856,2.21,0.562,1.45,0.269,0.69,0.149,0.38,0.388,0.532,1.37,0.311,0.204,0.098,0.054,0.193,0.141,0.0,0.0,0.1,0.0,0.0,0.0,9068296
Food Prices for Nutrition 2.1,FPN 2.1,United Kingdom,2017,0.341,1.627,0.285,1.363,0.049,0.235,1.822,6.93,1.526,0.263,0.494,3.36,0.533,3.63,0.195,1.33,0.053,0.36,0.147,0.399,2.71,0.271,0.293,0.107,0.029,0.219,0.081,0.2,0.5,0.5,0.2,0.3,0.3,66058859
Food Prices for Nutrition 2.1,FPN 2.1,United States,2017,0.46,2.879,0.316,1.978,0.129,0.808,3.225,3.56,2.215,0.905,0.557,0.84,0.61,0.92,0.285,0.43,0.059,0.09,0.661,1.053,1.59,0.173,0.189,0.088,0.018,0.327,0.205,1.2,1.5,2.0,4.1,4.9,6.5,325122128
Food Prices for Nutrition 2.1,FPN 2.1,Upper middle income,2017,0.625,3.123,0.481,2.346,0.166,0.785,3.498,1.3310502283105,2.628,0.879,0.901,1.68,0.701,1.31,0.432,0.8,0.13,0.24,0.537,0.796,1.48,0.258,0.2,0.123,0.037,0.228,0.154,1.2,11.2,17.3,29.1,269.8,417.3,2408279566
Food Prices for Nutrition 2.1,FPN 2.1,Uruguay,2017,0.416,2.744,0.288,1.901,0.094,0.62,3.073,4.43,2.129,0.694,0.615,1.63,0.537,1.42,0.487,1.29,0.068,0.18,0.378,0.989,2.62,0.2,0.175,0.158,0.022,0.322,0.123,0.0,0.8,2.8,0.0,0.0,0.1,3422200
