classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_poverty_line,cost_healthy_diet,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.0,FPN 1.0,Ethiopia,2019,3.323,3.29,86.4,96.9,112078727
Food Prices for Nutrition 1.0,FPN 1.0,Ethiopia,2020,3.4,3.366,86.8,99.7,114963583
Food Prices for Nutrition 1.0,FPN 1.0,Europe & Central Asia,2018,2.6,3.016,3.4,28.4,828497705
Food Prices for Nutrition 1.0,FPN 1.0,Europe & Central Asia,2019,2.7116071428571424,3.037,3.5,29.3,830805195
Food Prices for Nutrition 1.0,FPN 1.0,Europe & Central Asia,2020,2.7295652173913045,3.139,3.6,30.2,832978472
Food Prices for Nutrition 1.0,FPN 1.0,Fiji,2018,3.714,3.677,53.2,0.5,883490
Food Prices for Nutrition 1.0,FPN 1.0,Fiji,2019,3.897,3.858,60.3,0.5,889955
Food Prices for Nutrition 1.0,FPN 1.0,Fiji,2020,3.954,3.914,60.4,0.5,896444
Food Prices for Nutrition 1.0,FPN 1.0,Finland,2018,2.651,2.624,0.2,0.0,5515525
Food Prices for Nutrition 1.0,FPN 1.0,Finland,2019,2.637,2.611,0.1,0.0,5521606
Food Prices for Nutrition 1.0,FPN 1.0,Finland,2020,2.739,2.712,0.1,0.0,5530719
Food Prices for Nutrition 1.0,FPN 1.0,France,2018,3.049,3.019,0.1,0.1,67101930
Food Prices for Nutrition 1.0,FPN 1.0,France,2019,3.098,3.067,0.1,0.1,67248926
Food Prices for Nutrition 1.0,FPN 1.0,France,2020,3.252,3.219,0.1,0.1,67391582
Food Prices for Nutrition 1.0,FPN 1.0,Gabon,2018,3.437,3.403,36.3,0.8,2119275
Food Prices for Nutrition 1.0,FPN 1.0,Gabon,2019,3.52,3.485,36.0,0.8,2172578
Food Prices for Nutrition 1.0,FPN 1.0,Gabon,2020,3.588,3.552,36.3,0.8,2225728
Food Prices for Nutrition 1.0,FPN 1.0,"Gambia, The",2018,3.038,3.008,65.6,1.5,2280092
Food Prices for Nutrition 1.0,FPN 1.0,"Gambia, The",2019,3.085,3.054,63.8,1.5,2347696
Food Prices for Nutrition 1.0,FPN 1.0,"Gambia, The",2020,3.141,3.11,64.0,1.5,2416664
Food Prices for Nutrition 1.0,FPN 1.0,Germany,2018,2.946,2.917,0.2,0.2,82905782
Food Prices for Nutrition 1.0,FPN 1.0,Germany,2019,2.91,2.881,0.2,0.2,83092962
Food Prices for Nutrition 1.0,FPN 1.0,Germany,2020,3.056,3.025,0.2,0.2,83240525
Food Prices for Nutrition 1.0,FPN 1.0,Ghana,2018,3.899,3.86,62.7,18.7,29767108
Food Prices for Nutrition 1.0,FPN 1.0,Ghana,2019,3.981,3.941,60.6,18.4,30417858
Food Prices for Nutrition 1.0,FPN 1.0,Ghana,2020,4.074,4.033,61.2,19.0,31072945
Food Prices for Nutrition 1.0,FPN 1.0,Greece,2018,3.133,3.102,2.7,0.3,10732882
Food Prices for Nutrition 1.0,FPN 1.0,Greece,2019,3.096,3.065,3.1,0.3,10721582
Food Prices for Nutrition 1.0,FPN 1.0,Greece,2020,3.162,3.13,3.2,0.3,10715549
Food Prices for Nutrition 1.0,FPN 1.0,Guinea,2018,3.902,3.863,94.6,11.7,12414292
Food Prices for Nutrition 1.0,FPN 1.0,Guinea,2019,4.041,4.001,94.6,12.1,12771246
Food Prices for Nutrition 1.0,FPN 1.0,Guinea,2020,4.169,4.127,94.9,12.5,13132792
Food Prices for Nutrition 1.0,FPN 1.0,Guinea-Bissau,2018,3.287,3.254,87.3,1.6,1874304
Food Prices for Nutrition 1.0,FPN 1.0,Guinea-Bissau,2019,3.369,3.335,86.4,1.7,1920917
Food Prices for Nutrition 1.0,FPN 1.0,Guinea-Bissau,2020,3.54,3.505,87.2,1.7,1967998
Food Prices for Nutrition 1.0,FPN 1.0,Guyana,2018,4.79,4.742,45.5,0.4,779007
Food Prices for Nutrition 1.0,FPN 1.0,Guyana,2019,4.877,4.828,42.9,0.3,782775
Food Prices for Nutrition 1.0,FPN 1.0,Guyana,2020,4.938,4.889,43.0,0.3,786559
Food Prices for Nutrition 1.0,FPN 1.0,Haiti,2018,4.116,4.075,82.7,9.2,11123183
Food Prices for Nutrition 1.0,FPN 1.0,Haiti,2019,4.318,4.275,84.6,9.5,11263079
Food Prices for Nutrition 1.0,FPN 1.0,Haiti,2020,4.535,4.49,85.9,9.8,11402533
Food Prices for Nutrition 1.0,FPN 1.0,High income,2018,2.756896551724138,3.198,1.5,16.5,1176731688
Food Prices for Nutrition 1.0,FPN 1.0,High income,2019,2.8794642857142856,3.225,1.3,14.8,1181551597
Food Prices for Nutrition 1.0,FPN 1.0,High income,2020,2.916521739130435,3.354,1.4,15.3,1185676183
Food Prices for Nutrition 1.0,FPN 1.0,Honduras,2018,3.449,3.415,53.2,5.1,9587523
Food Prices for Nutrition 1.0,FPN 1.0,Honduras,2019,3.438,3.404,50.9,5.0,9746115
Food Prices for Nutrition 1.0,FPN 1.0,Honduras,2020,3.521,3.486,51.3,5.1,9904608
Food Prices for Nutrition 1.0,FPN 1.0,Hungary,2018,3.417,3.383,2.3,0.2,9775564
Food Prices for Nutrition 1.0,FPN 1.0,Hungary,2019,3.402,3.368,1.9,0.2,9771141
Food Prices for Nutrition 1.0,FPN 1.0,Hungary,2020,3.523,3.488,2.0,0.2,9749763
Food Prices for Nutrition 1.0,FPN 1.0,Iceland,2018,2.27,2.247,0.0,0.0,352721
Food Prices for Nutrition 1.0,FPN 1.0,Iceland,2019,2.257,2.234,0.0,0.0,360563
Food Prices for Nutrition 1.0,FPN 1.0,Iceland,2020,2.438,2.414,0.0,0.0,366425
Food Prices for Nutrition 1.0,FPN 1.0,India,2018,2.859,2.83,71.5,966.6,1352642283
Food Prices for Nutrition 1.0,FPN 1.0,India,2019,2.906,2.877,69.4,948.6,1366417756
Food Prices for Nutrition 1.0,FPN 1.0,India,2020,3.0,2.97,70.5,973.3,1380004385
Food Prices for Nutrition 1.0,FPN 1.0,Indonesia,2018,4.316,4.273,68.9,184.4,267670549
Food Prices for Nutrition 1.0,FPN 1.0,Indonesia,2019,4.311,4.268,67.3,182.0,270625567
Food Prices for Nutrition 1.0,FPN 1.0,Indonesia,2020,4.511,4.466,69.1,189.1,273523621
Food Prices for Nutrition 1.0,FPN 1.0,"Iran, Islamic Rep.",2018,3.244,3.212,14.0,11.4,81800204
Food Prices for Nutrition 1.0,FPN 1.0,"Iran, Islamic Rep.",2019,3.679,3.642,22.1,18.3,82913893
Food Prices for Nutrition 1.0,FPN 1.0,"Iran, Islamic Rep.",2020,3.586,3.55,20.3,17.1,83992953
Food Prices for Nutrition 1.0,FPN 1.0,Iraq,2018,3.499,3.464,53.2,20.4,38433604
Food Prices for Nutrition 1.0,FPN 1.0,Iraq,2019,3.57,3.534,50.6,19.9,39309789
Food Prices for Nutrition 1.0,FPN 1.0,Iraq,2020,3.576,3.54,49.6,19.9,40222503
Food Prices for Nutrition 1.0,FPN 1.0,Ireland,2018,2.365,2.341,0.1,0.0,4867316
Food Prices for Nutrition 1.0,FPN 1.0,Ireland,2019,2.292,2.269,0.1,0.0,4934340
Food Prices for Nutrition 1.0,FPN 1.0,Ireland,2020,2.247,2.225,0.1,0.0,4994724
Food Prices for Nutrition 1.0,FPN 1.0,Israel,2018,2.525,2.5,1.2,0.1,8882800
Food Prices for Nutrition 1.0,FPN 1.0,Israel,2019,2.479,2.454,1.0,0.1,9054000
Food Prices for Nutrition 1.0,FPN 1.0,Israel,2020,2.517,2.492,1.0,0.1,9216900
Food Prices for Nutrition 1.0,FPN 1.0,Italy,2018,3.009,2.979,2.9,1.7,60421760
Food Prices for Nutrition 1.0,FPN 1.0,Italy,2019,3.042,3.012,2.8,1.7,59729081
Food Prices for Nutrition 1.0,FPN 1.0,Italy,2020,3.176,3.144,2.9,1.7,59554023
Food Prices for Nutrition 1.0,FPN 1.0,Jamaica,2018,6.203,6.141,64.3,1.9,2934853
Food Prices for Nutrition 1.0,FPN 1.0,Jamaica,2019,6.463,6.398,65.0,1.9,2948277
Food Prices for Nutrition 1.0,FPN 1.0,Jamaica,2020,6.748,6.681,66.2,2.0,2961161
Food Prices for Nutrition 1.0,FPN 1.0,Japan,2018,5.759,5.701,2.5,3.1,126529100
Food Prices for Nutrition 1.0,FPN 1.0,Japan,2019,5.666,5.609,2.5,3.1,126264931
Food Prices for Nutrition 1.0,FPN 1.0,Japan,2020,5.867,5.808,2.5,3.1,125836021
Food Prices for Nutrition 1.0,FPN 1.0,Jordan,2018,3.489,3.454,14.9,1.5,9965322
Food Prices for Nutrition 1.0,FPN 1.0,Jordan,2019,3.535,3.5,14.2,1.4,10101697
Food Prices for Nutrition 1.0,FPN 1.0,Jordan,2020,3.651,3.614,14.9,1.5,10203140
Food Prices for Nutrition 1.0,FPN 1.0,Kazakhstan,2018,2.451,2.426,1.1,0.2,18276452
Food Prices for Nutrition 1.0,FPN 1.0,Kazakhstan,2019,2.563,2.537,1.0,0.2,18513673
Food Prices for Nutrition 1.0,FPN 1.0,Kazakhstan,2020,2.684,2.657,1.2,0.2,18754440
Food Prices for Nutrition 1.0,FPN 1.0,Kenya,2018,2.852,2.823,81.2,41.7,51392570
Food Prices for Nutrition 1.0,FPN 1.0,Kenya,2019,2.936,2.907,80.7,42.5,52573967
Food Prices for Nutrition 1.0,FPN 1.0,Kenya,2020,2.998,2.968,81.1,43.6,53771300
Food Prices for Nutrition 1.0,FPN 1.0,"Korea, Rep.",2018,4.949,4.9,1.7,0.9,51606633
Food Prices for Nutrition 1.0,FPN 1.0,"Korea, Rep.",2019,4.848,4.8,1.5,0.8,51709098
Food Prices for Nutrition 1.0,FPN 1.0,"Korea, Rep.",2020,5.235,5.183,1.7,0.9,51780579
Food Prices for Nutrition 1.0,FPN 1.0,Kyrgyz Republic,2018,2.961,2.931,47.5,3.0,6322800
Food Prices for Nutrition 1.0,FPN 1.0,Kyrgyz Republic,2019,3.021,2.991,45.3,2.9,6456200
Food Prices for Nutrition 1.0,FPN 1.0,Kyrgyz Republic,2020,3.212,3.18,49.6,3.3,6591600
Food Prices for Nutrition 1.0,FPN 1.0,Lao PDR,2018,3.877,3.838,79.2,5.6,7061498
Food Prices for Nutrition 1.0,FPN 1.0,Lao PDR,2019,3.999,3.959,78.4,5.6,7169456
Food Prices for Nutrition 1.0,FPN 1.0,Lao PDR,2020,4.183,4.141,79.8,5.8,7275556
Food Prices for Nutrition 1.0,FPN 1.0,Latin America & Caribbean,2018,3.178448275862069,3.687,21.2,121.6,573866374
Food Prices for Nutrition 1.0,FPN 1.0,Latin America & Caribbean,2019,3.363392857142857,3.767,21.3,123.1,579898511
Food Prices for Nutrition 1.0,FPN 1.0,Latin America & Caribbean,2020,3.3860869565217393,3.894,22.5,131.4,585542878
Food Prices for Nutrition 1.0,FPN 1.0,Latvia,2018,3.162,3.13,2.4,0.0,1927174
Food Prices for Nutrition 1.0,FPN 1.0,Latvia,2019,3.164,3.132,1.7,0.0,1913822
Food Prices for Nutrition 1.0,FPN 1.0,Latvia,2020,3.273,3.24,1.8,0.0,1901548
Food Prices for Nutrition 1.0,FPN 1.0,Lesotho,2018,3.917,3.878,81.0,1.7,2108327
Food Prices for Nutrition 1.0,FPN 1.0,Lesotho,2019,4.051,4.01,82.0,1.7,2125267
Food Prices for Nutrition 1.0,FPN 1.0,Lesotho,2020,4.309,4.266,83.5,1.8,2142252
Food Prices for Nutrition 1.0,FPN 1.0,Liberia,2018,4.072,4.03160712053957,96.9,4.7,4818976
Food Prices for Nutrition 1.0,FPN 1.0,Liberia,2019,3.886,3.847,96.7,4.8,4937374
Food Prices for Nutrition 1.0,FPN 1.0,Liberia,2020,3.942,3.903,96.8,4.9,5057677
Food Prices for Nutrition 1.0,FPN 1.0,Lithuania,2018,3.073,3.042,2.4,0.1,2801543
Food Prices for Nutrition 1.0,FPN 1.0,Lithuania,2019,3.07,3.039,1.2,0.0,2794137
Food Prices for Nutrition 1.0,FPN 1.0,Lithuania,2020,3.13,3.099,1.2,0.0,2794700
Food Prices for Nutrition 1.0,FPN 1.0,Low income,2018,2.667241379310345,3.094,89.0,432.4,485655918
Food Prices for Nutrition 1.0,FPN 1.0,Low income,2019,2.783035714285714,3.117,88.2,441.0,499846358
Food Prices for Nutrition 1.0,FPN 1.0,Low income,2020,2.7843478260869565,3.202,88.3,454.2,514203142
Food Prices for Nutrition 1.0,FPN 1.0,Lower middle income,2018,2.961206896551724,3.435,69.4,2170.0,3143955746
Food Prices for Nutrition 1.0,FPN 1.0,Lower middle income,2019,3.2107142857142854,3.596,68.4,2168.9,3188678419
Food Prices for Nutrition 1.0,FPN 1.0,Lower middle income,2020,3.2182608695652175,3.701,69.4,2230.7,3233237634
Food Prices for Nutrition 1.0,FPN 1.0,Luxembourg,2018,2.654,2.627,0.4,0.0,607950
Food Prices for Nutrition 1.0,FPN 1.0,Luxembourg,2019,2.626,2.6,0.1,0.0,620001
Food Prices for Nutrition 1.0,FPN 1.0,Luxembourg,2020,2.688,2.661,0.1,0.0,632275
Food Prices for Nutrition 1.0,FPN 1.0,Madagascar,2018,3.154,3.122,97.1,25.5,26262313
Food Prices for Nutrition 1.0,FPN 1.0,Madagascar,2019,3.186,3.154,97.0,26.2,26969306
Food Prices for Nutrition 1.0,FPN 1.0,Madagascar,2020,3.213,3.181,97.0,26.9,27691019
Food Prices for Nutrition 1.0,FPN 1.0,Malawi,2018,2.815,2.787,95.7,17.4,18143215
